Date,AGG,SPY,GLD,HYG
2018-01-02,102.67609405517578,258.8582763671875,125.1500015258789,78.06938171386719
2018-01-03,102.68548583984375,260.49554443359375,124.81999969482422,78.44481658935547
2018-01-04,102.61964416503906,261.5934753417969,125.45999908447266,78.57887268066406
2018-01-05,102.5538330078125,263.33673095703125,125.33000183105469,78.6325454711914
2018-01-08,102.525634765625,263.8183288574219,125.30999755859375,78.5699691772461
2018-01-09,102.24343872070312,264.4154052734375,124.7300033569336,78.32862091064453
2018-01-10,102.24343872070312,264.010986328125,125.02999877929688,78.15877532958984
2018-01-11,102.29047393798828,265.9371643066406,125.44000244140625,78.4179916381836
2018-01-12,102.27168273925781,267.67083740234375,126.95999908447266,78.28392028808594
2018-01-16,102.29987335205078,266.7558288574219,127.16999816894531,78.23921966552734
2018-01-17,102.18702697753906,269.2984619140625,126.13999938964844,78.24816131591797
2018-01-18,101.96131134033203,268.8458251953125,125.86000061035156,78.1677017211914
2018-01-19,101.74496459960938,270.0689697265625,126.41999816894531,78.24816131591797
2018-01-22,101.70735168457031,272.264892578125,126.6500015258789,78.31968688964844
2018-01-23,101.95188903808594,272.8427734375,127.27999877929688,78.55207061767578
2018-01-24,101.84844207763672,272.7368469238281,128.8300018310547,78.43586730957031
2018-01-25,102.11177825927734,272.85235595703125,127.97000122070312,78.3822250366211
2018-01-26,101.9236831665039,276.01141357421875,128.07000732421875,78.44481658935547
2018-01-29,101.74496459960938,274.18145751953125,127.3499984741211,78.1677017211914
2018-01-30,101.5851058959961,271.36920166015625,126.80000305175781,77.8995590209961
2018-01-31,101.66974639892578,271.5040283203125,127.6500015258789,78.03362274169922
2018-02-01,101.35111999511719,271.19580078125,128.07000732421875,77.88642120361328
2018-02-02,101.04948425292969,265.2919006347656,126.38999938964844,77.39275360107422
2018-02-05,101.45482635498047,254.19671630859375,126.70999908447266,76.96187591552734
2018-02-06,101.16259765625,259.2049865722656,125.37999725341797,77.42864227294922
2018-02-07,100.9363784790039,257.798828125,124.79000091552734,77.14138793945312
2018-02-08,100.76670837402344,248.1290740966797,124.9800033569336,76.46818542480469
2018-02-09,100.6347427368164,251.8563232421875,124.7699966430664,76.25273895263672
2018-02-12,100.66300201416016,255.55474853515625,125.37000274658203,76.77337646484375
2018-02-13,100.69129180908203,256.1903991699219,126.08000183105469,76.53102111816406
2018-02-14,100.35194396972656,259.6480407714844,128.22999572753906,76.66567993164062
2018-02-15,100.47449493408203,262.96112060546875,128.3800048828125,77.2850112915039
2018-02-16,100.67243957519531,263.03814697265625,127.95999908447266,77.59918975830078
2018-02-20,100.5687484741211,261.3912048339844,126.23999786376953,77.32989501953125
2018-02-21,100.2482681274414,260.0910339355469,125.66000366210938,76.9798355102539
2018-02-22,100.25770568847656,260.42816162109375,126.30000305175781,77.03370666503906
2018-02-23,100.51217651367188,264.57916259765625,126.13999938964844,77.54531860351562
2018-02-26,100.58760070800781,267.65155029296875,126.44999694824219,77.6799545288086
2018-02-27,100.37078857421875,264.30950927734375,125.12999725341797,77.4735107421875
2018-02-28,100.64417266845703,261.6320495605469,125.0,77.35684204101562
2018-03-01,100.73390197753906,257.8276672363281,124.72000122070312,76.84404754638672
2018-03-02,100.57330322265625,259.15679931640625,125.38999938964844,77.27661895751953
2018-03-05,100.51663970947266,262.1521301269531,125.18000030517578,77.27661895751953
2018-03-06,100.5355224609375,262.8166809082031,126.52999877929688,77.3847427368164
2018-03-07,100.51663970947266,262.72039794921875,125.72000122070312,77.19552612304688
2018-03-08,100.67723846435547,263.9916687011719,125.41999816894531,77.28564453125
2018-03-09,100.4883041381836,268.5857849121094,125.54000091552734,77.56499481201172
2018-03-12,100.54496002197266,268.2486877441406,125.54000091552734,77.43883514404297
2018-03-13,100.67723846435547,266.51507568359375,125.77999877929688,77.19552612304688
2018-03-14,100.84727478027344,265.14739990234375,125.69999694824219,77.10540771484375
2018-03-15,100.8567123413086,264.85845947265625,124.9000015258789,77.15947723388672
2018-03-16,100.80003356933594,265.1457214355469,124.5999984741211,77.3216781616211
2018-03-19,100.69612121582031,261.55816650390625,124.87000274658203,77.00625610351562
2018-03-20,100.5355224609375,262.0030212402344,124.30999755859375,77.15947723388672
2018-03-21,100.52609252929688,261.50018310546875,126.4800033569336,77.1865005493164
2018-03-22,100.71501159667969,254.96337890625,125.9800033569336,76.7269058227539
2018-03-23,100.71501159667969,249.52896118164062,127.61000061035156,76.52864837646484
2018-03-26,100.67723846435547,256.3558654785156,128.27999877929688,77.0242919921875
2018-03-27,100.97008514404297,251.99478149414062,127.48999786376953,76.95221710205078
2018-03-28,101.02677917480469,251.25015258789062,125.7300033569336,76.91613006591797
2018-03-29,101.31962585449219,254.46058654785156,125.79000091552734,77.177490234375
2018-04-02,101.21832275390625,248.96810913085938,127.26000213623047,76.87797546386719
2018-04-03,101.10467529296875,252.1591796875,126.30000305175781,77.09515380859375
2018-04-04,101.14257049560547,254.85704040527344,126.44999694824219,77.26708221435547
2018-04-05,101.0005111694336,256.86834716796875,125.80000305175781,77.3304214477539
2018-04-06,101.22779846191406,251.143798828125,126.38999938964844,77.15847778320312
2018-04-09,101.31300354003906,252.3815460205078,126.81999969482422,77.44802856445312
2018-04-10,101.23725128173828,256.3945617675781,127.12000274658203,77.72856903076172
2018-04-11,101.32245635986328,255.05044555664062,128.11000061035156,77.75572204589844
2018-04-12,101.09520721435547,257.1487731933594,126.62000274658203,78.03620910644531
2018-04-13,101.12364196777344,256.3945617675781,127.44999694824219,78.08145141601562
