Date,AGG,GOVT,SPY
2012-02-24,90.01654052734375,22.227283477783203,116.0276107788086
2012-02-27,90.30139923095703,22.227283477783203,116.22252655029297
2012-02-28,90.23628234863281,22.227283477783203,116.5615005493164
2012-02-29,90.1467514038086,22.227283477783203,116.1039047241211
2012-03-01,89.96485137939453,22.227283477783203,116.70548248291016
2012-03-02,90.16059112548828,22.227283477783203,116.349609375
2012-03-05,90.03008270263672,22.227283477783203,115.87511444091797
2012-03-06,90.20958709716797,22.227283477783203,114.18041229248047
2012-03-07,90.12800598144531,22.29892921447754,114.97693634033203
2012-03-08,89.9239730834961,22.316837310791016,116.1208267211914
2012-03-09,89.90770721435547,22.289974212646484,116.56993865966797
2012-03-12,89.98931884765625,22.289974212646484,116.57843780517578
2012-03-13,89.68739318847656,22.289974212646484,118.67985534667969
2012-03-14,89.19782257080078,22.075048446655273,118.552734375
2012-03-15,89.15707397460938,21.985490798950195,119.23909759521484
2012-03-16,89.16520690917969,22.012359619140625,119.40421295166016
2012-03-19,88.8796157836914,21.886974334716797,119.87228393554688
2012-03-20,89.01016235351562,21.94071388244629,119.52332305908203
2012-03-21,89.2222900390625,21.976531982421875,119.32764434814453
2012-03-22,89.30390930175781,22.00341033935547,118.46800994873047
2012-03-23,89.50784301757812,22.039220809936523,118.85102081298828
2012-03-26,89.44264221191406,22.039220809936523,120.51911163330078
2012-03-27,89.54048919677734,22.03026580810547,120.14464569091797
2012-03-28,89.5241928100586,22.06609344482422,119.54888153076172
2012-03-29,89.76898956298828,22.11981773376465,119.34459686279297
2012-03-30,89.63026428222656,22.05713653564453,119.8382568359375
2012-04-02,89.64092254638672,22.097469329833984,120.71485900878906
2012-04-03,89.25659942626953,21.989927291870117,120.2212142944336
2012-04-04,89.44464111328125,22.043685913085938,119.02970886230469
2012-04-05,89.64905548095703,22.115381240844727,118.97016906738281
2012-04-09,90.0416259765625,22.24979591369629,117.6340103149414
2012-04-10,90.04975891113281,22.285634994506836,115.65951538085938
2012-04-11,90.05799865722656,22.267719268798828,116.59567260742188
2012-04-12,89.96800994873047,22.240827560424805,118.11909484863281
2012-04-13,90.24603271484375,22.312515258789062,116.71485137939453
2012-04-16,90.26239776611328,22.285634994506836,116.63824462890625
2012-04-17,90.27873992919922,22.312515258789062,118.36593627929688
2012-04-18,90.39325714111328,22.294601440429688,117.96586608886719
2012-04-19,90.32780456542969,22.303552627563477,117.20846557617188
2012-04-20,90.34416198730469,22.303552627563477,117.4041976928711
2012-04-23,90.43409729003906,22.366281509399414,116.41697692871094
2012-04-24,90.30327606201172,22.303552627563477,116.8594970703125
2012-04-25,90.34416198730469,22.303552627563477,118.45953369140625
2012-04-26,90.48314666748047,22.357330322265625,119.28507232666016
2012-04-27,90.47501373291016,22.366281509399414,119.4808120727539
2012-04-30,90.44229888916016,22.339406967163086,119.03825378417969
2012-05-01,90.40951538085938,22.312498092651367,119.7786636352539
2012-05-02,90.49966430664062,22.339405059814453,119.42121887207031
2012-05-03,90.59798431396484,22.366315841674805,118.51057434082031
2012-05-04,90.68812561035156,22.42011260986328,116.59567260742188
2012-05-07,90.72089385986328,22.42909049987793,116.68081665039062
2012-05-08,90.78643798828125,22.41114044189453,116.21269989013672
2012-05-09,90.81111145019531,22.4649600982666,115.52336883544922
2012-05-10,90.72089385986328,22.42011260986328,115.76167297363281
2012-05-11,90.78643798828125,22.491867065429688,115.4126968383789
2012-05-14,90.99130249023438,22.554636001586914,114.13611602783203
2012-05-15,90.94219207763672,22.52773094177246,113.48079681396484
2012-05-16,90.92578887939453,22.57257652282715,113.04676818847656
2012-05-17,90.98309326171875,22.635347366333008,111.37016296386719
2012-05-18,90.95855712890625,22.635347366333008,110.41697692871094
2012-05-21,90.94219207763672,22.59050750732422,112.3148422241211
2012-05-22,90.72089385986328,22.536697387695312,112.51058197021484
2012-05-23,90.82740783691406,22.57257652282715,112.57019805908203
2012-05-24,90.7536849975586,22.58152961730957,112.79144287109375
2012-05-25,90.89298248291016,22.59050750732422,112.42550659179688
2012-05-29,90.84383392333984,22.59050750732422,113.78718566894531
2012-05-30,91.14701843261719,22.680187225341797,112.13612365722656
2012-05-31,91.4174575805664,22.787796020507812,111.88932037353516
2012-06-01,91.64570617675781,22.903573989868164,109.07228088378906
2012-06-04,91.43221282958984,22.79588508605957,109.02123260498047
2012-06-05,91.24334716796875,22.75101089477539,109.8467788696289
2012-06-06,90.97234344482422,22.661256790161133,112.3148422241211
2012-06-07,91.11194610595703,22.661256790161133,112.3829345703125
2012-06-08,91.0708999633789,22.661256790161133,113.27654266357422
2012-06-11,91.15302276611328,22.68817710876465,111.83822631835938
2012-06-12,91.07906341552734,22.616384506225586,113.12338256835938
2012-06-13,91.31720733642578,22.724084854125977,112.39996337890625
2012-06-14,91.25151824951172,22.661256790161133,113.59143829345703
2012-06-15,91.46508026123047,22.75101089477539,114.75316619873047
2012-06-18,91.44042205810547,22.724084854125977,114.97559356689453
2012-06-19,91.33369445800781,22.706125259399414,116.08771514892578
2012-06-20,91.19409942626953,22.652284622192383,115.89950561523438
2012-06-21,91.31720733642578,22.724084854125977,113.29887390136719
2012-06-22,91.18584442138672,22.625350952148438,114.1714096069336
2012-06-25,91.47329711914062,22.733062744140625,112.34075927734375
2012-06-26,91.37474060058594,22.715103149414062,112.90533447265625
2012-06-27,91.41578674316406,22.697158813476562,113.92337799072266
2012-06-28,91.52252197265625,22.742027282714844,113.5982894897461
2012-06-29,91.39935302734375,22.670230865478516,116.42992401123047
