Date,D05.SI,U11.SI,O39.SI
2018-01-02,22.84540557861328,25.025297164916992,11.601631164550781
2018-01-03,23.461868286132812,25.279027938842773,11.7966947555542
2018-01-04,24.02393913269043,25.391796112060547,12.028913497924805
2018-01-05,23.860759735107422,25.28842544555664,12.028913497924805
2018-01-08,23.978612899780273,25.60793685913086,12.066067695617676
2018-01-09,24.033004760742188,26.124794006347656,11.991758346557617
2018-01-10,24.07833480834961,26.012025833129883,11.94531536102295
2018-01-11,23.98767852783203,26.030820846557617,11.98246955871582
2018-01-12,23.878889083862305,26.190576553344727,12.066067695617676
2018-01-15,24.060203552246094,26.406719207763672,12.149667739868164
2018-01-16,24.033004760742188,26.594663619995117,12.270421028137207
2018-01-17,23.761035919189453,26.472497940063477,12.242554664611816
2018-01-18,23.57065773010254,26.18117904663086,12.103222846984863
2018-01-19,23.869823455810547,26.34093475341797,12.26113224029541
2018-01-22,23.969545364379883,26.256357192993164,12.223976135253906
2018-01-23,24.332170486450195,26.660449981689453,12.298287391662598
2018-01-24,24.631338119506836,26.669843673706055,12.344731330871582
2018-01-25,24.268714904785156,26.293947219848633,12.177533149719238
2018-01-26,24.096464157104492,26.19997215270996,12.112512588500977
2018-01-29,24.105533599853516,26.19997215270996,12.214688301086426
2018-01-30,23.93328285217285,25.842870712280273,12.066067695617676
2018-01-31,23.93328285217285,25.777090072631836,12.010335922241211
2018-02-01,24.123661041259766,26.171781539916992,12.010335922241211
2018-02-02,24.18712043762207,25.86166763305664,11.898872375488281
2018-02-05,23.69757843017578,25.532758712768555,11.666653633117676
2018-02-06,23.316818237304688,25.015899658203125,11.350835800170898
2018-02-07,22.99045753479004,24.649398803710938,11.27652645111084
2018-02-08,24.214319229125977,24.93132209777832,11.387990951538086
2018-02-09,24.214319229125977,24.658796310424805,11.322969436645508
2018-02-12,24.758256912231445,24.762168884277344,11.387990951538086
2018-02-13,25.048357009887695,25.22264289855957,11.675941467285156
2018-02-14,25.41098403930664,24.658796310424805,11.387990951538086
2018-02-15,25.637624740600586,25.41059112548828,11.871004104614258
2018-02-19,25.77360725402832,25.654922485351562,12.028913497924805
2018-02-20,25.982118606567383,25.579744338989258,11.917448997497559
2018-02-21,26.698305130004883,25.93684959411621,12.075358390808105
2018-02-22,26.290348052978516,25.86166763305664,12.168244361877441
2018-02-23,26.82522201538086,26.378522872924805,12.419039726257324
2018-02-26,26.86148452758789,26.745023727416992,12.51192855834961
2018-02-27,26.344743728637695,26.669843673706055,12.38188648223877
2018-02-28,26.018381118774414,26.20937156677246,12.131091117858887
2018-03-01,26.109037399291992,26.350332260131836,12.270421028137207
2018-03-02,25.755475997924805,26.077808380126953,12.131091117858887
2018-03-05,25.383787155151367,25.946245193481445,12.158956527709961
2018-03-06,25.882394790649414,26.538278579711914,12.446906089782715
2018-03-07,25.465373992919922,25.98383331298828,12.270421028137207
2018-03-08,25.592296600341797,26.312742233276367,12.363308906555176
2018-03-09,25.501638412475586,26.350332260131836,12.307576179504395
2018-03-12,26.054641723632812,27.03634262084961,12.484062194824219
2018-03-13,26.35380744934082,27.243085861206055,12.614104270935059
2018-03-14,26.399137496948242,27.083328247070312,12.567660331726074
2018-03-15,25.93678855895996,26.8577938079834,12.474772453308105
2018-03-16,25.610427856445312,26.453702926635742,12.354019165039062
2018-03-19,25.447246551513672,26.406719207763672,12.242554664611816
2018-03-20,25.673885345458984,26.594663619995117,12.419039726257324
2018-03-21,25.746414184570312,26.8577938079834,12.465484619140625
2018-03-22,25.49257469177246,26.46310043334961,12.316864967346191
2018-03-23,24.8398494720459,25.7488956451416,11.95460319519043
2018-03-26,24.667600631713867,25.7488956451416,11.889582633972168
2018-03-27,25.012094497680664,25.946245193481445,12.019624710083008
2018-03-28,24.350303649902344,25.457576751708984,11.713096618652344
2018-03-29,24.930505752563477,25.842870712280273,11.908160209655762
2018-04-02,24.767322540283203,25.7488956451416,11.861717224121094
2018-04-03,24.64040184020996,25.335411071777344,11.7966947555542
2018-04-04,23.996742248535156,24.69639015197754,11.415858268737793
2018-04-05,24.731061935424805,25.34480857849121,11.666653633117676
2018-04-06,25.075551986694336,25.720706939697266,11.852428436279297
2018-04-09,25.20247459411621,25.98383331298828,11.889582633972168
2018-04-10,25.374717712402344,26.237564086914062,11.936027526855469
2018-04-11,25.447246551513672,26.293947219848633,12.038202285766602
2018-04-12,25.45631217956543,26.246959686279297,11.926736831665039
2018-04-13,25.764543533325195,26.538278579711914,12.149667739868164
2018-04-16,25.882394790649414,26.65104866027832,12.168244361877441
2018-04-17,26.04557991027832,26.679241180419922,12.279708862304688
2018-04-18,26.61671257019043,27.468624114990234,12.55837345123291
2018-04-19,27.11532211303711,27.9854793548584,12.762722969055176
2018-04-20,26.82522201538086,27.900903701782227,12.753435134887695
2018-04-23,26.86148452758789,27.844518661499023,12.725568771362305
2018-04-24,27.18784523010254,27.900903701782227,12.762722969055176
2018-04-25,27.00653839111328,28.0512638092041,12.716279029846191
2018-04-26,26.961206436157227,28.04172134399414,12.781302452087402
2018-04-27,27.196914672851562,28.08942985534668,12.67912483215332
2018-04-30,27.95842742919922,28.757312774658203,12.818456649780273
2018-05-02,27.749919891357422,28.61419677734375,12.967077255249023
2018-05-03,27.07489776611328,28.223005294799805,12.772012710571289
2018-05-04,26.631044387817383,27.736400604248047,12.67912483215332
2018-05-07,26.788240432739258,27.94631004333496,12.23326587677002
2018-05-08,26.806737899780273,27.994016647338867,12.149667739868164
2018-05-09,26.594057083129883,27.936767578125,12.205400466918945
